release_year,genres,positive_percentual
2010.0,RPG,95.85
2010.0,Indie,95.46666666666665
2010.0,Action,93.42
2010.0,Simulation,92.9
2010.0,Adventure,92.89999999999999
2011.0,RPG,95.47500000000001
2011.0,Indie,94.76
2011.0,Action,94.05555555555556
2011.0,Massively Multiplayer,94.0
2011.0,Simulation,94.0
2012.0,Casual,97.0
2012.0,Simulation,94.925
2012.0,RPG,94.86
2012.0,Adventure,93.67142857142858
2012.0,Indie,93.18333333333334
2013.0,Casual,97.7
2013.0,Early Access,94.2
2013.0,Racing,93.3
2013.0,Sports,93.3
2013.0,Strategy,92.14
2014.0,Racing,95.3
2014.0,Casual,94.025
2014.0,Early Access,94.0
2014.0,Indie,93.55
2014.0,Simulation,92.2
2015.0,Casual,96.0
2015.0,Indie,89.9793103448276
2015.0,Racing,88.6
2015.0,Strategy,88.20833333333333
2015.0,Early Access,88.15
2016.0,Animation & Modeling,99.3
2016.0,Design & Illustration,99.3
2016.0,Game Development,99.3
2016.0,Sports,94.6
2016.0,Casual,92.39090909090909
2017.0,Audio Production,95.9
2017.0,Utilities,95.9
2017.0,Racing,94.26666666666667
2017.0,Sports,93.35
2017.0,Early Access,91.0
2018.0,Animation & Modeling,98.2
2018.0,Design & Illustration,98.2
2018.0,Photo Editing,98.2
2018.0,Utilities,98.2
2018.0,Casual,92.53999999999999
2019.0,Early Access,93.98333333333333
2019.0,Casual,93.6
2019.0,Indie,93.36538461538461
2019.0,RPG,93.30909090909091
2019.0,Sports,93.25
2020.0,Animation & Modeling,94.2
2020.0,Design & Illustration,94.2
2020.0,Education,94.2
2020.0,Game Development,94.2
2020.0,Photo Editing,94.2
2021.0,Early Access,95.18333333333334
2021.0,Casual,94.81428571428572
2021.0,Indie,92.45405405405405
2021.0,Sports,91.15
2021.0,Simulation,90.38421052631578
2022.0,Casual,94.59166666666665
2022.0,Indie,90.50857142857143
2022.0,Adventure,89.93125
2022.0,Simulation,89.9304347826087
2022.0,Early Access,88.46666666666667
2023.0,Casual,93.10000000000001
2023.0,Adventure,88.10714285714286
2023.0,Massively Multiplayer,87.8
2023.0,Indie,87.37142857142857
2023.0,Strategy,86.51818181818182
2024.0,Casual,94.88181818181819
2024.0,Indie,92.659375
2024.0,Adventure,88.47272727272727
2024.0,RPG,88.13846153846154
2024.0,Strategy,87.38888888888889
2025.0,Indie,93.1
2025.0,Racing,93.1
2025.0,Simulation,93.1
